ToolId,Category,ScriptPath,EnglishName,ArabicName,Purpose,RiskLevel,RequiresAdmin,RequiresRestart,OfflineCapability,BackupMethod,RollbackMethod,AnalyzeOnlySupported,WhatIfSupported,TestResult
SC01,02-System-Cleanup,02-System-Cleanup/SC01-CleanUserTempFiles.ps1,"Clean User Temp Files","تنظيف الملفات المؤقتة للمستخدم","Cleans the current user temp folders, quarantining removable files and skipping ones in use.",SAFE_CLEANUP,false,false,FULL,"Files moved to Quarantine via Invoke-KnouxCleanup","Restore from Quarantine folder",true,true,PASS
SC02,02-System-Cleanup,02-System-Cleanup/SC02-EmptyRecycleBin.ps1,"Empty Recycle Bin","إفراغ سلة المحذوفات","Permanently empties the Recycle Bin for all drives after a typed confirmation. Nothing here can be restored afterwards.",DESTRUCTIVE,false,false,FULL,"None (permanent delete after confirmation)","None (cannot restore after empty)",true,true,PASS
SC03,02-System-Cleanup,02-System-Cleanup/SC03-CleanBrowserCache.ps1,"Clean Browser Cache","تنظيف ذاكرة المتصفح المؤقتة","Cleans browser cache folders PER PROFILE for the current user (Chrome, Edge, Brave, Firefox). Never touches other users or system folders such as SoftwareDistribution.",SAFE_CLEANUP,false,false,FULL,"Files moved to Quarantine per profile","Restore from Quarantine folder",true,true,PASS
SC04,02-System-Cleanup,02-System-Cleanup/SC04-CleanWindowsErrorReports.ps1,"Clean Windows Error Reports","تنظيف تقارير أخطاء ويندوز","Cleans WER (Windows Error Reporting) files under ProgramData. Never touches CBS.log or DISM.log.",SAFE_CLEANUP,true,false,FULL,"Files moved to Quarantine via Invoke-KnouxCleanup","Restore from Quarantine folder",true,true,PASS
SC05,02-System-Cleanup,02-System-Cleanup/SC05-AnalyzeCleanupPotential.ps1,"Analyze Cleanup Potential","تحليل إمكانية التنظيف","Measures how much space is reclaimable in common locations WITHOUT deleting anything.",READ_ONLY,false,false,FULL,"None (measurement only)","None required",true,false,PASS
SC06,02-System-Cleanup,02-System-Cleanup/SC06-CleanUpdateDownloadCache.ps1,"Clean Update Download Cache","تنظيف ذاكرة تنزيل التحديثات","Removes the contents of %SystemRoot%\SoftwareDistribution\Download only (never DataStore, never the whole SoftwareDistribution folder). Required services (wuauserv, bits, cryptsvc) are stopped for the cleanup and their start type and running state are restored and verified afterwards. If ANY required service cannot be stopped and verified, cleanup is ABORTED.",SAFE_CLEANUP,true,false,FULL,"Cache files moved to Quarantine; wuauserv start type/state saved","Restore from Quarantine folder; wuauserv start type restored and verified",true,true,PASS
SC07,02-System-Cleanup,02-System-Cleanup/SC07-CleanSystemTemp.ps1,"Clean System Temp","تنظيف الملفات المؤقتة للنظام","Cleans C:\Windows\Temp. Files in use are skipped silently.",SAFE_CLEANUP,true,false,FULL,"Files moved to Quarantine via Invoke-KnouxCleanup","Restore from Quarantine folder",true,true,PASS
SC08,02-System-Cleanup,02-System-Cleanup/SC08-CleanLargeTempFiles.ps1,"Clean Large Temp Files","تنظيف الملفات المؤقتة الكبيرة","Finds and removes temp files larger than 100 MB in the user and system temp locations.",SAFE_CLEANUP,false,false,FULL,"Files moved to Quarantine","Restore from Quarantine folder",true,true,PASS
SC09,02-System-Cleanup,02-System-Cleanup/SC09-CleanThumbnailCache.ps1,"Clean Thumbnail Cache","تنظيف ذاكرة الصور المصغرة","Removes the Explorer thumbnail cache (regenerated on demand).",SAFE_CLEANUP,false,false,FULL,"Files moved to Quarantine via Invoke-KnouxCleanup","Restore from Quarantine folder",true,true,PASS
SC10,02-System-Cleanup,02-System-Cleanup/SC10-ComprehensiveCleanup.ps1,"Comprehensive Cleanup","تنظيف شامل","Runs the full cleanup sequence (temp, system temp, update cache, thumbnail cache, WER) after a single typed confirmation.",DESTRUCTIVE,true,false,FULL,"Files moved to Quarantine","Restore from Quarantine folder",true,true,PASS
NI01,03-Network-Internet,03-Network-Internet/NI01-TestNetworkConnectivity.ps1,"Test Network Connectivity","اختبار اتصال الشبكة","Pings the default gateway and a public address (8.8.8.8) to test LAN and internet connectivity (read-only).",READ_ONLY,false,false,PARTIAL,"None (read-only test)","None required",true,false,PASS
NI02,03-Network-Internet,03-Network-Internet/NI02-RenewIPAddress.ps1,"Renew IP Address","تجديد عنوان IP","ipconfig /release then /renew on all adapters.",SAFE_CLEANUP,true,false,FULL,"None (DHCP re-lease)","Renew again via ipconfig",true,true,PASS
NI03,03-Network-Internet,03-Network-Internet/NI03-FlushDnsCache.ps1,"Flush DNS Cache","مسح ذاكرة DNS المؤقتة","Flushes the DNS resolver cache with ipconfig /flushdns and records the result (requires admin).",SAFE_CLEANUP,true,false,FULL,"None (cache flush)","None (DNS re-caches automatically)",true,true,PASS
NI04,03-Network-Internet,03-Network-Internet/NI04-ResetWinsock.ps1,"Reset Winsock","إعادة تعيين Winsock","netsh winsock reset. A restart is required afterwards.",SYSTEM_REPAIR,true,true,FULL,"None (winsock catalog reset)","None; restart then re-add any custom LSPs",true,true,PASS
NI05,03-Network-Internet,03-Network-Internet/NI05-RefreshNetworkTables.ps1,"Refresh Network Tables","تحديث جداول الشبكة","Flushes NetBIOS cache, ARP table and re-registers DNS records.",SAFE_CLEANUP,true,false,FULL,"None (cache refresh)","None required",true,true,PASS
NI06,03-Network-Internet,03-Network-Internet/NI06-TestConnectionQuality.ps1,"Test Connection Quality","اختبار جودة الاتصال","Pings 8.8.8.8 ten times and reports latency/jitter statistics to gauge connection quality (read-only).",READ_ONLY,false,false,PARTIAL,"None (read-only test)","None required",true,false,PASS
NI07,03-Network-Internet,03-Network-Internet/NI07-ShowNetworkConfiguration.ps1,"Show Network Configuration","عرض إعدادات الشبكة","Shows the full network configuration (ipconfig /all) and per-adapter details into a JSON report (read-only).",READ_ONLY,false,false,FULL,"None (display only)","None required",true,false,PASS
NI08,03-Network-Internet,03-Network-Internet/NI08-ResetNetworkStack.ps1,"Reset Network Stack","إعادة تعيين حزمة الشبكة","netsh winsock reset + netsh int ip reset. Restart required.",SYSTEM_REPAIR,true,true,FULL,"None (winsock + ip reset)","None; restart then reconfigure static IPs",true,true,PASS
NI09,03-Network-Internet,03-Network-Internet/NI09-OptimizeTcpIpSettings.ps1,"Optimize TCP/IP Settings","تحسين إعدادات TCP/IP","Restores sane TCP auto-tuning and congestion defaults. Saves the previous values for rollback.",SYSTEM_REPAIR,true,false,FULL,"System Restore point via New-KnouxRestorePoint; previous values saved","System Restore; or reapply previous registry values",true,true,PASS
NI10,03-Network-Internet,03-Network-Internet/NI10-NetworkReport.ps1,"Network Report","تقرير الشبكة","Combines connectivity, configuration, and quality results into one network report (read-only).",READ_ONLY,false,false,FULL,"None (report only)","None required",true,false,PASS
PA01,04-Programs-Applications,04-Programs-Applications/PA01-ListInstalledPrograms.ps1,"List Installed Programs","قائمة البرامج المثبتة","Lists installed programs from the Uninstall registry hives (user + machine) into a JSON report (read-only).",READ_ONLY,false,false,FULL,"None (read-only listing)","None required",true,false,PASS
PA02,04-Programs-Applications,04-Programs-Applications/PA02-RepairProgramInstallations.ps1,"Repair Program Installations","إصلاح تثبيت البرامج","Repairs common obstacles to clean installs of user programs: clears the per-user Windows Installer cache lock, removes stale MSI install-session markers, and repairs the Windows Installer service startup type. Never removes programs, only install scaffolding.",SYSTEM_REPAIR,true,false,FULL,"None (clears install scaffolding only)","None required",true,true,PASS
PA03,04-Programs-Applications,04-Programs-Applications/PA03-UninstallResidualFiles.ps1,"Uninstall Residual Files","إزالة الملفات المتبقية","Detects leftover folders in %ProgramFiles% / %ProgramFiles(x86)% whose program is no longer registered in the Uninstall registry hive. Candidate folders are moved to quarantine (never hard-deleted).",DESTRUCTIVE,false,false,FULL,"Folders moved to Quarantine","Restore from Quarantine folder",true,true,PASS
PA04,04-Programs-Applications,04-Programs-Applications/PA04-RepairStartMenuShortcuts.ps1,"Repair Start Menu Shortcuts","إصلاح اختصارات قائمة ابدأ","Fixes Start Menu and desktop shortcuts whose target path is broken. Shortcuts pointing to the Recycle Bin root are skipped (false positive).",SYSTEM_REPAIR,false,false,FULL,"None (shortcut target fix)","None required",true,true,PASS
PA05,04-Programs-Applications,04-Programs-Applications/PA05-ManageStartupPrograms.ps1,"Manage Startup Programs","إدارة برامج بدء التشغيل","Lists startup entries (Run/RunOnce for HKLM + HKCU). Enables the user to disable selected startup programs by moving the registry value to a parallel backup key (registry backup, not deletion).",SYSTEM_REPAIR,false,false,FULL,"Registry values moved to parallel backup key","Restore value from backup key",true,true,PASS
PA06,04-Programs-Applications,04-Programs-Applications/PA06-CheckRuntimeComponents.ps1,"Check Runtime Components","فحص مكونات التشغيل","Reports the presence/version of common runtime components: .NET Framework, Microsoft Visual C++ Redistributables, and the WebView2 runtime. No changes are ever made.",READ_ONLY,false,false,FULL,"None (read-only check)","None required",true,false,PASS
PA07,04-Programs-Applications,04-Programs-Applications/PA07-RemoveUnnecessaryWindowsApps.ps1,"Remove Unnecessary Windows Apps","إزالة تطبيقات ويندوز غير الضرورية","Lists provisioned Windows Store apps. Lets the user remove selected apps for the current user (or machine-wide when run as admin).",DESTRUCTIVE,false,false,FULL,"None (appx removal, per-user reversible)","Reinstall app via Microsoft Store",true,true,PASS
PA08,04-Programs-Applications,04-Programs-Applications/PA08-RepairProgramUninstaller.ps1,"Repair Program Uninstaller","إصلاح أداة إلغاء التثبيت","Re-registers the Windows Installer and clears common blockers that prevent programs from uninstalling cleanly: dead installer mutexes, stale ""Installer"" cache entries, and locked setup registrations.",SYSTEM_REPAIR,false,false,FULL,"None (re-register MSI service)","None required",true,true,PASS
PA09,04-Programs-Applications,04-Programs-Applications/PA09-CheckProgramUpdates.ps1,"Check Program Updates","التحقق من تحديثات البرامج","Uses winget to list installed programs that have newer versions available. Read-only: reports only, never updates.",READ_ONLY,false,false,NO,"None (winget check only)","None required",true,false,PASS
PA10,04-Programs-Applications,04-Programs-Applications/PA10-ProgramsReport.ps1,"Programs Report","تقرير البرامج","Aggregates program-health facts into one report: installed count, startup count, broken shortcuts, missing runtimes, and recent installs.",READ_ONLY,false,false,FULL,"None (report only)","None required",true,false,PASS
DF01,05-Duplicate-Files,05-Duplicate-Files/DF01-AnalyzeDuplicateFiles.ps1,"Analyze Duplicate Files","تحليل الملفات المكررة","Finds groups of duplicate files under the selected folders using content hashing and reports recoverable space without deleting anything.",READ_ONLY,false,false,FULL,"None (read-only analysis)","None required",true,false,PASS
DF02,05-Duplicate-Files,05-Duplicate-Files/DF02-CleanDuplicateFiles.ps1,"Clean Duplicate Files","تنظيف الملفات المكررة","Quarantines duplicate file copies under selected folders (oldest keeper preserved) to reclaim space, with everything recoverable from quarantine.",DESTRUCTIVE,false,false,FULL,"Duplicate files moved to Quarantine (keeper preserved)","Restore from Quarantine folder",true,true,PASS
DF03,05-Duplicate-Files,05-Duplicate-Files/DF03-CleanDuplicatePictures.ps1,"Clean Duplicate Pictures","تنظيف الصور المكررة","Detects duplicate image files by content hash and quarantines the redundant copies, keeping the oldest keeper, recoverable from quarantine.",DESTRUCTIVE,false,false,FULL,"Duplicate pictures moved to Quarantine (keeper preserved)","Restore from Quarantine folder",true,true,PASS
DF04,05-Duplicate-Files,05-Duplicate-Files/DF04-CleanDuplicateDocuments.ps1,"Clean Duplicate Documents","تنظيف المستندات المكررة","Detects duplicate document files by content hash and quarantines the redundant copies, keeping the oldest keeper, recoverable from quarantine.",DESTRUCTIVE,false,false,FULL,"Duplicate documents moved to Quarantine (keeper preserved)","Restore from Quarantine folder",true,true,PASS
DF05,05-Duplicate-Files,05-Duplicate-Files/DF05-CleanDuplicateMusicAndVideo.ps1,"Clean Duplicate Music and Video","تنظيف الموسيقى والفيديو المكرر","Detects duplicate music and video files by content hash and quarantines the redundant copies, keeping the oldest keeper, recoverable from quarantine.",DESTRUCTIVE,false,false,FULL,"Duplicate music/video moved to Quarantine (keeper preserved)","Restore from Quarantine folder",true,true,PASS
DF06,05-Duplicate-Files,05-Duplicate-Files/DF06-RemoveEmptyFolders.ps1,"Remove Empty Folders","إزالة المجلدات الفارغة","Finds and quarantines empty folders under the selected roots (reparse points skipped), recovering directory clutter safely.",SAFE_CLEANUP,false,false,FULL,"Empty folders moved to Quarantine","Restore from Quarantine folder",true,true,PASS
DF07,05-Duplicate-Files,05-Duplicate-Files/DF07-MoveDuplicatesToFolder.ps1,"Move Duplicates to Folder","نقل الملفات المكررة إلى مجلد","Moves duplicate file copies into a dedicated folder under the selected root so nothing is deleted, keeping the oldest keeper in place.",SAFE_CLEANUP,false,false,FULL,"Duplicates copied/moved to a folder (keeper preserved)","Copy back from the duplicates folder",true,true,PASS
DF08,05-Duplicate-Files,05-Duplicate-Files/DF08-DeduplicateDownloads.ps1,"Deduplicate Downloads","إزالة تكرارات مجلد التنزيلات","Deduplicates the Downloads folder: duplicate copies are quarantined (oldest keeper preserved) and recoverable.",DESTRUCTIVE,false,false,FULL,"Duplicate downloads moved to Quarantine (keeper preserved)","Restore from Quarantine folder",true,true,PASS
DF09,05-Duplicate-Files,05-Duplicate-Files/DF09-ListDuplicateSystemFiles.ps1,"List Duplicate System Files","قائمة ملفات النظام المكررة","Lists duplicate files found in system/Program Files locations by content hash (read-only report).",READ_ONLY,false,false,FULL,"None (read-only listing)","None required",true,false,PASS
DF10,05-Duplicate-Files,05-Duplicate-Files/DF10-RestoreQuarantinedItems.ps1,"Restore Quarantined Items","استعادة العناصر المعزولة","Lists quarantine entries for duplicate-file tools and allows selective restoration with verification. Read-only until user confirms a restore action.",SAFE_CLEANUP,false,false,FULL,"None (report only)","None required",true,true,PASS
DS01,06-Disk-Space,06-Disk-Space/DS01-AnalyzeDiskSpaceUsage.ps1,"Analyze Disk Space Usage","تحليل استخدام مساحة القرص","Measures disk space usage per drive and reports free/used capacity and per-folder sizes into a JSON report (read-only).",READ_ONLY,false,false,FULL,"None (read-only analysis)","None required",true,false,PASS
DS02,06-Disk-Space,06-Disk-Space/DS02-FindLargeFiles.ps1,"Find Large Files","العثور على الملفات الكبيرة","Finds the largest files under user folders using a streaming top-N enumerator (iterative, skips reparse points and offline files, never materializes the whole tree).",READ_ONLY,false,false,FULL,"None (read-only search)","None required",true,true,PASS
DS03,06-Disk-Space,06-Disk-Space/DS03-FindSpaceHogs.ps1,"Find Space Hogs","العثور على مستهلكي المساحة","Ranks folders under user folders by total size using a streaming top-N folder enumerator (iterative post-order, skips reparse points and offline files, never materializes the whole tree).",READ_ONLY,false,false,FULL,"None (read-only analysis)","None required",true,false,PASS
DS04,06-Disk-Space,06-Disk-Space/DS04-CleanRecycleBin.ps1,"Clean Recycle Bin","تنظيف سلة المحذوفات","Empties the Recycle Bin for all drives after typed confirmation; reports the space recovered (permanent).",DESTRUCTIVE,false,false,FULL,"None (permanent delete after confirmation)","None (cannot restore after empty)",true,true,PASS
DS05,06-Disk-Space,06-Disk-Space/DS05-ClearFileHistoryCache.ps1,"Clear File History Cache","مسح ذاكرة محفوظات الملفات","Clears the File History cache if it is disabled/unused. If File History is active, reports instead of clearing.",SAFE_CLEANUP,false,false,FULL,"File History cache moved to Quarantine","Restore from Quarantine folder",true,true,PASS
DS06,06-Disk-Space,06-Disk-Space/DS06-CompactSystemFiles.ps1,"Compact System Files","ضغط ملفات النظام","CompactOS: compresses Windows system files (binary-level). Runs `compact /compactos:always`; reports size impact. Requires admin.",SAFE_CLEANUP,true,false,FULL,"None (compact /compactos, reversible)","Run compact /compactos:never to decompress",true,true,PASS
DS07,06-Disk-Space,06-Disk-Space/DS07-CheckDiskHealth.ps1,"Check Disk Health","فحص صحة القرص","Checks disk health via Win32_DiskDrive (SMART status), without any destructive action. Reports per-physical-disk status.",READ_ONLY,false,false,FULL,"None (SMART read-only)","None required",true,false,PASS
DS08,06-Disk-Space,06-Disk-Space/DS08-RunDiskCleanup.ps1,"Run Disk Cleanup","تشغيل تنظيف القرص","Runs the built-in Windows Disk Cleanup (cleanmgr) with a preset set of safe categories via an ini-driven invocation. Requires user confirmation; launches the interactive dialog if no preset.",SAFE_CLEANUP,false,false,FULL,"None (cleanmgr preset categories)","None (only safe categories run)",true,true,PASS
DS09,06-Disk-Space,06-Disk-Space/DS09-DisableHibernation.ps1,"Disable Hibernation","تعطيل وضع السبات","Disables hibernation (frees the hiberfil.sys file). Shows the reclaimed space. Can be re-enabled with `powercfg /h on`.",SAFE_CLEANUP,true,false,FULL,"None (powercfg /h off)","Re-enable with powercfg /h on",true,true,PASS
DS10,06-Disk-Space,06-Disk-Space/DS10-DiskSpaceReport.ps1,"Disk Space Report","تقرير مساحة القرص","Aggregates disk usage, top large files, and space hogs into a report.",READ_ONLY,false,false,FULL,"None (report only)","None required",true,false,PASS
SP01,07-Services-Processes,07-Services-Processes/SP01-ListServices.ps1,"List Services","قائمة الخدمات","Lists Windows services with name, display name, status, and start type into a JSON report (read-only).",READ_ONLY,false,false,FULL,"None (read-only listing)","None required",true,false,PASS
SP02,07-Services-Processes,07-Services-Processes/SP02-AnalyzeProcesses.ps1,"Analyze Processes","تحليل العمليات","Lists top processes by CPU and memory usage, plus total memory load.",READ_ONLY,false,false,FULL,"None (read-only analysis)","None required",true,false,PASS
SP03,07-Services-Processes,07-Services-Processes/SP03-RestartExplorer.ps1,"Restart Explorer","إعادة تشغيل مستكشف ويندوز","Restarts Windows Explorer (shell) to clear UI glitches and memory. Safe: explorer.exe is excluded from the protected-process kill list.",SYSTEM_REPAIR,false,false,FULL,"None (explorer restart)","None (shell restarts automatically)",true,true,PASS
SP04,07-Services-Processes,07-Services-Processes/SP04-CleanupHangingProcesses.ps1,"Cleanup Hanging Processes","إنهاء العمليات المتجمدة","Lists hung (not-responding) user processes and offers to end them. System/protected processes are excluded.",SYSTEM_REPAIR,false,false,FULL,"None (end user processes only)","None required",true,true,PASS
SP05,07-Services-Processes,07-Services-Processes/SP05-ResetServiceStartTypes.ps1,"Reset Service Start Types","إعادة تعيين أنواع بدء الخدمات","Resets the start type of a set of well-known Windows services to Microsoft defaults. Current start modes are backed up to Backups\ before any change and every change is verified afterwards. Includes a read-only UAC/DEP audit; UAC and DEP are never disabled by this tool.",SYSTEM_REPAIR,true,false,FULL,"Current start types backed up to Backups before change","Restore from Backups; every change verified",true,true,PASS
SP06,07-Services-Processes,07-Services-Processes/SP06-RestartWindowsUpdateServices.ps1,"Restart Windows Update Services","إعادة تشغيل خدمات تحديث ويندوز","Stops, then restarts the Windows Update services. Preserves the original start types. Safe (no deletion, no cache clearing here).",SYSTEM_REPAIR,true,false,FULL,"Original start types preserved; services restarted","Restart services; start types re-applied",true,true,PASS
SP07,07-Services-Processes,07-Services-Processes/SP07-FindServiceDependencies.ps1,"Find Service Dependencies","العثور على تبعيات الخدمات","Shows the dependency tree for a requested service or lists services that have dependencies. Read-only.",READ_ONLY,false,false,FULL,"None (read-only analysis)","None required",true,false,PASS
SP08,07-Services-Processes,07-Services-Processes/SP08-ServiceRecommendations.ps1,"Service Recommendations","توصيات الخدمات","Read-only audit of service configuration with controlled change capability. Changes are permitted ONLY from an explicit Config allowlist supplied by the administrator. No generic disable recommendations.",SYSTEM_REPAIR,true,false,FULL,"Original StartType of each changed service in service-start-backup.json (raw-output)","Use SP09-RestoreServiceStartTypes to restore",true,true,PASS
SP09,07-Services-Processes,07-Services-Processes/SP09-RestoreServiceStartTypes.ps1,"Restore Service Start Types","استعادة أنواع بدء الخدمات","Restores service start types previously backed up by SP08 (Service Recommendations). It scans the Reports tree for service-start-backup.json files, lists the runs that contain one, loads the chosen backup and offers to restore each service to its original start type. Restored start types are verified after the change.",SYSTEM_REPAIR,true,false,FULL,"None (restores SP08 backups)","Re-run SP08 backup flow to re-disable if needed",true,true,PASS
SP10,07-Services-Processes,07-Services-Processes/SP10-ServicesProcessesReport.ps1,"Services & Processes Report","تقرير الخدمات والعمليات","Generates a full diagnostic report on services and processes: counts by state/start-mode, top consumers, suspicious entries, hung processes. Read-only, safe.",READ_ONLY,false,false,FULL,"None (report only)","None required",true,false,PASS
PF01,08-Performance,08-Performance/PF01-BootDurationReport.ps1,"Boot Duration Report","تقرير مدة الإقلاع","Measures the current boot duration and system uptime using performance data and the boot event log when available.",READ_ONLY,false,false,FULL,"None (read-only report)","None required",true,false,PASS
PF02,08-Performance,08-Performance/PF02-StartupImpactAnalysis.ps1,"Startup Impact Analysis","تحليل تأثير بدء التشغيل","Lists startup commands from all locations (Run keys, startup folders, services) so the user can spot impact on boot time.",READ_ONLY,false,false,FULL,"None (read-only analysis)","None required",true,false,PASS
PF03,08-Performance,08-Performance/PF03-PowerPlanAudit.ps1,"Power Plan Audit","تدقيق خطة الطاقة","Audits all power plans and shows which one is active. Read-only.",READ_ONLY,false,false,FULL,"None (read-only audit)","None required",true,false,PASS
PF04,08-Performance,08-Performance/PF04-MemoryPressureAnalysis.ps1,"Memory Pressure Analysis","تحليل ضغط الذاكرة","Reports physical memory usage, page file pressure, and the top processes by working set.",READ_ONLY,false,false,FULL,"None (read-only analysis)","None required",true,false,PASS
PF05,08-Performance,08-Performance/PF05-DiskTrimAudit.ps1,"Disk & TRIM Audit","تدقيق القرص و TRIM","Reports disk free space, whether the media is solid state, and the TRIM setting (DisableDeleteNotify) via fsutil when readable.",READ_ONLY,false,false,FULL,"None (read-only audit)","None required",true,false,PASS
PF06,08-Performance,08-Performance/PF06-ScheduledTasksReview.ps1,"Scheduled Tasks Review","مراجعة المهام المجدولة","Reviews scheduled tasks, flagging tasks that failed to run or tasks that are enabled and might affect responsiveness.",READ_ONLY,false,false,FULL,"None (read-only review)","None required",true,false,PASS
PF07,08-Performance,08-Performance/PF07-ResourceSampling.ps1,"Resource Sampling","أخذ عينات الموارد","Samples CPU, memory, and disk activity over a short window and reports averages and peaks.",READ_ONLY,false,false,FULL,"None (sampling only)","None required",true,false,PASS
PF08,08-Performance,08-Performance/PF08-ThermalInformation.ps1,"Thermal Information","معلومات حرارية","Reads thermal zone temperature via ACPI WMI when the hardware exposes it. On most desktops this class is absent; the tool then reports 'not available' instead of failing.",READ_ONLY,false,false,FULL,"None (WMI read)","None required",true,false,PASS
PF09,08-Performance,08-Performance/PF09-VisualEffectsConfig.ps1,"Visual Effects Configuration","إعداد المؤثرات البصرية","Reads the current visual effects setting and can optionally switch to 'adjust for best performance' after backing up the current registry values. Changes are verified after writing.",SAFE_CLEANUP,false,false,FULL,"Registry values backed up before change; changes verified","Restore previous registry values from backup",true,true,PASS
PF10,08-Performance,08-Performance/PF10-FullPerformanceReport.ps1,"Full Performance Report","تقرير الأداء الكامل","Aggregates boot, startup, memory, disk, power plan, and thermal data into one performance report saved under raw-output.",READ_ONLY,false,false,FULL,"None (report only)","None required",true,false,PASS
SE01,09-Security,09-Security/SE01-SecurityAudit.ps1,"Security Audit","تدقيق الأمان","Reports the status of key security controls: real-time protection, firewall (all profiles), UAC, and Defender signature age.",READ_ONLY,false,false,FULL,"None (read-only audit)","None required",true,false,PASS
SE02,09-Security,09-Security/SE02-EnableRealtimeProtection.ps1,"Enable Real-time Protection","تفعيل الحماية في الوقت الفعلي","Enables Windows Defender real-time protection and restores its service startup if it was disabled.",SYSTEM_REPAIR,true,false,FULL,"None (service startup restored to Automatic)","Re-disable service if desired",true,true,PASS
SE03,09-Security,09-Security/SE03-RepairWindowsDefender.ps1,"Repair Windows Defender","إصلاح ويندوز ديفندر","Repairs Microsoft Defender without ever stopping or disabling it: ensures the WinDefend service is set to Automatic and running, re-enables real-time protection, and refreshes signatures. The Defender service is never stopped or disabled.",SYSTEM_REPAIR,true,false,FULL,"None (Defender repaired, never stopped)","None required",true,true,PASS
SE04,09-Security,09-Security/SE04-FirewallStatus.ps1,"Firewall Status","حالة جدار الحماية","Reports Windows Firewall status for all profiles using the firewall API (read-only).",READ_ONLY,false,false,FULL,"None (read-only status)","None required",true,false,PASS
